site,horizon,model,MAE_speed,RMSE_speed,MAE_sine,RMSE_sine,MAE_cosine,RMSE_cosine,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,7.25,ABED,3.3792186066236956,4.662446214665603,0.24693172276774006,0.41704351294165826,0.28019344474644076,0.430533793721776,3.3285817691339328,4.4913383865615994,3.4028583524844773,4.486158871608547
DU002,7.25,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,7.5,ABED,3.486373697733823,4.754226228195233,0.24942211885706708,0.4179259837817059,0.28591658699650424,0.43476210259306997,3.416503706242889,4.580276037145198,3.490532314032316,4.58694190622565
DU002,7.5,ECMWF,3.314576559738924,4.12967180238039,1.0003287406542944,1.0785933018144913,1.0988547019703014,1.1796740242711639,13.558533975888427,15.634595917301876,11.64004314330634,13.92338328772474
DU002,7.75,ABED,3.565501170609853,4.864060998467549,0.24752988330854023,0.41266639084095186,0.2873661676194391,0.43735560404381896,3.4695729832653135,4.645902855904938,3.5603809176320813,4.702206676816813
DU002,7.75,ECMWF,3.317410524973543,4.132962082558177,1.0010683142691856,1.0789056975749016,1.100426782706481,1.180850634298408,13.548295940974993,15.590795311104005,11.625741671552891,13.89434474591003
DU002,7.0,ABED,3.30475337978681,4.53284132525299,0.24229256049512193,0.4130055897425166,0.2748763554998507,0.4289060305614641,3.2980511582508267,4.431644008643499,3.3136620856876973,4.356305947398091
DU002,7.0,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,6.75,ABED,3.2686278263264033,4.4485841249331095,0.2390631192671325,0.4081278951395271,0.2732773205265843,0.42602720341054134,3.2382106040567455,4.356850264751109,3.265200246735254,4.2723202685551875
DU002,6.75,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,6.5,ABED,3.2247205664805954,4.370289142285222,0.23407147455610175,0.40287211321921146,0.27027105293088954,0.4243901783571608,3.203844920528816,4.298820992818874,3.192292149618475,4.185205971240954
DU002,6.5,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,6.25,ABED,3.205104517495734,4.274709901644847,0.23363231641852705,0.40384346714964253,0.2728177866662816,0.4314177589513502,3.20180326077481,4.285523457748271,3.1278362275056897,4.078440489962243
DU002,6.25,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,6.0,ABED,3.170053897140043,4.186094443049061,0.23126643729450386,0.40268103875928946,0.2749948174755045,0.44201115922938605,3.1709062479739445,4.244577435401861,3.0847168436129797,4.005939267639208
DU002,6.0,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,5.75,ABED,3.138095491053104,4.134282753538617,0.22797651349948522,0.39467933720250753,0.2833863879743673,0.4597329505816245,3.158007478958646,4.205369676635001,3.055867561033838,3.9724072577743432
DU002,5.75,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,5.5,ABED,3.096667000284703,4.095613659312075,0.22491023722848882,0.3865116961241822,0.2889598535666972,0.4681014933746124,3.1258613669335666,4.164051196934846,3.0194378165650138,3.938043022737716
DU002,5.5,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,5.25,ABED,3.0719350468885662,4.092397524132247,0.22499014436381548,0.3867247789912854,0.2871728255911787,0.46438088696906527,3.1139841802780412,4.148544063971455,2.996363809607583,3.923013310366423
DU002,5.25,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,5.0,ABED,3.0605211892646316,4.105705902438642,0.22292878000083813,0.3876191883727052,0.2807461950357761,0.45119889598234425,3.1169292465672784,4.164364912696092,2.970922065647467,3.8984418633938005
DU002,5.0,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,4.75,ABED,3.059670611036581,4.122084479883307,0.22021843534991445,0.3803040192991053,0.27188698101301106,0.42977422219333034,3.093268728227399,4.163761625704216,2.9722593549605727,3.8717621318797715
DU002,4.75,ECMWF,3.311325353999465,4.1249616777823555,0.9990684232297723,1.0774448722180245,1.0963896459849212,1.1779663877210842,13.567829659091883,15.671609038782787,11.656353409675042,13.964842527005061
DU002,4.5,ABED,3.058766491523867,4.126853814947587,0.21971111374747923,0.37763189712117046,0.2698711892813547,0.4265878023565935,3.103013073164408,4.190856694215389,2.9668496972770386,3.848066497281662
