site,horizon,model,MAE_speed,RMSE_speed,MAE_sine,RMSE_sine,MAE_cosine,RMSE_cosine,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,5.0,ABED,3.9741032873629507,5.410404358515895,0.20705043824404049,0.36910437100764304,0.20216636890614986,0.3833822187375806,4.056835583479108,5.428114432565255,4.19276070522307,5.976835871464523
DU002,5.0,ECMWF,4.856755677249237,6.20817183899216,1.0685274008449148,1.1410793206997305,1.2188842778747977,1.2901736968781725,25.257584144414096,28.578319613823286,21.90234314312294,25.076525784814724
DU002,5.25,ABED,3.9676778500985566,5.456784114566213,0.20909876710965147,0.3723768976532766,0.20262132235001648,0.3819991500985801,4.04147211626697,5.43177414707137,4.206080857166213,5.975734799335054
DU002,5.25,ECMWF,4.864623524687786,6.217813969857808,1.068761665385502,1.1412331501101678,1.2202208080555867,1.291523408266493,25.31595023146599,28.6242677127892,21.93614876701535,25.10642850311025
DU002,5.5,ABED,4.0142765111374255,5.521703094590316,0.2098855412364883,0.37661707703626973,0.2003311760191538,0.37342682386031406,4.063826080347072,5.43673832300519,4.232298068228484,5.988828045566019
DU002,5.5,ECMWF,4.871729497966409,6.228384355314765,1.0694489761185655,1.1417788924604853,1.2204663243632166,1.291914574993182,25.36220922479115,28.664338358977133,21.983322683336638,25.145269465348004
DU002,5.75,ABED,4.0578950117131125,5.586037476504582,0.21106585196667385,0.377675116351537,0.1998631563039844,0.37037742557200265,4.083978999306001,5.444463037263085,4.3034509497065,6.017966854113196
DU002,5.75,ECMWF,4.87470815200502,6.2346997436182985,1.0698365792485396,1.142177628432698,1.2203831650226935,1.2920517777816944,25.403728314934735,28.700075241146823,22.02782161628962,25.18095440786897
DU002,6.0,ABED,4.065612121926689,5.5754259213065085,0.21279936278738837,0.3784460805374777,0.20197903878149107,0.3744393223458352,4.093931632320376,5.461618295250765,4.354813332485891,6.016055822718448
DU002,6.0,ECMWF,4.8765775825698485,6.2411082862178535,1.0707222522178972,1.142664837663045,1.2202193144150661,1.291865940140395,25.443306035202156,28.734904356855907,22.072145814602973,25.214474861812516
DU002,6.25,ABED,4.075993519490456,5.511590987351833,0.21529614305081263,0.3824559443918892,0.2078992569846439,0.38866641422115494,4.1555167706744776,5.5448045280601495,4.357586276215267,5.9775966853200675
DU002,6.25,ECMWF,4.880692042255667,6.247309349009751,1.0710210222902945,1.143016093648766,1.2196512578281247,1.291509242804311,25.481655446287327,28.771097151793526,22.117116940065184,25.246136673479075
DU002,6.5,ABED,4.098369262458828,5.5184938079208505,0.2129828144228802,0.37914431326097564,0.21261170740166555,0.400794756775834,4.245219556894978,5.667291158531441,4.3345788629082715,5.944511927665367
DU002,6.5,ECMWF,4.88802043443283,6.257287679350149,1.071878206722741,1.143688240642382,1.219107882667265,1.2909262185097825,25.513150646010278,28.80020658809121,22.17444473302883,25.29276011696615
DU002,6.75,ABED,4.126404888998589,5.587179061648606,0.2086855540380853,0.3712555976898918,0.21087025552771974,0.4009788085818868,4.291699101608536,5.7327338721443395,4.345883632168516,5.91122792672188
DU002,6.75,ECMWF,4.888558415948999,6.261612343267756,1.072772409438933,1.144718059398818,1.218582053773553,1.2901086762301757,25.53567813769369,28.82180644575187,22.226391305816072,25.336684125099676
DU002,7.0,ABED,4.141406765873812,5.5930281939822875,0.2088854717130467,0.36923558165013387,0.21164897557774448,0.4033238321339584,4.351622011795662,5.82716899383254,4.374263135982808,5.905816898193372
DU002,7.0,ECMWF,4.8909122826345,6.266834095274062,1.0737968513636251,1.1457310945406087,1.217914959471907,1.2893088277266262,25.56261311298918,28.845426266247042,22.274979980036328,25.376624642269352
DU002,7.25,ABED,4.158039231055464,5.5671198522548275,0.21219175976045432,0.37121012943860515,0.21821737629518204,0.41199450718565606,4.50436180423708,6.01668005559801,4.418101807348849,5.982110421690829
DU002,7.25,ECMWF,4.900902748825086,6.277606023488943,1.075095150909964,1.147178542751482,1.2161154696479353,1.2876150203925438,25.59543107011805,28.874119177469915,22.32844925194089,25.419176681248597
DU002,7.5,ABED,4.151121381764645,5.6110490846251,0.21284055387140213,0.36941418257929204,0.22371085774155727,0.4185228858407153,4.617788932230099,6.183754497745121,4.46371969628058,6.088939725227957
DU002,7.5,ECMWF,4.901849435279298,6.282244917715081,1.0766376785825709,1.148629006332698,1.21546041109065,1.2866742963615754,25.63192161978085,28.8988473185818,22.38607960157831,25.459104506958656
DU002,7.75,ABED,4.155993593913652,5.7024674651771186,0.21577580789335873,0.3702240371144897,0.2285278255669041,0.42253787771529044,4.745113201670625,6.366840669368665,4.517666982417753,6.173655235656249
DU002,7.75,ECMWF,4.906163506355645,6.289746659376253,1.0767183737165735,1.1488805781110185,1.2149535359122283,1.2859640426560912,25.670041947890926,28.93069664538769,22.427467325963736,25.49380625593761
DU002,4.75,ABED,3.9019174872130065,5.281681373534955,0.20625367692207622,0.3679799317499253,0.19850681188221697,0.37789228693715493,4.0389002402637715,5.37886511076244,4.159596131054542,5.944075188823833
DU002,4.75,ECMWF,4.853657439052543,6.205529532359299,1.0682916564954772,1.1408748102274062,1.2187467310530042,1.2900831248100808,25.25133753767832,28.574083764670174,21.89500671322689,25.070746440446673
DU002,4.5,ABED,3.865218600135607,5.180956482471924,0.20539546404040973,0.3660939056822803,0.19724487555746123,0.3745165876699606,4.0450626903221565,5.346863951403094,4.103566608816001,5.837749862020435
DU002,4.5,ECMWF,4.851718937030848,6.204453469551423,1.0680263310665565,1.1406336091656937,1.2186332254057641,1.2900186110549774,25.246180214798496,28.571118080628725,21.88712402589418,25.06426226476665
