site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,7.75,ABED,3.602112535763831,4.876210492822321,3.933593642414996,5.0706413834315915
DU002,7.75,ECMWF,13.117976608854304,15.522012733920878,10.12516978165037,12.486206839390013
DU002,7.5,ABED,3.5442367318103574,4.805557953673357,3.881122360782077,5.028638753694604
DU002,7.5,ECMWF,13.117976608854304,15.522012733920878,10.12516978165037,12.486206839390013
DU002,7.25,ABED,3.5053743909251085,4.746982296307998,3.8504147279984604,5.011960242555401
DU002,7.25,ECMWF,13.117976608854304,15.522012733920878,10.12516978165037,12.486206839390013
DU002,7.0,ABED,3.480057660953061,4.699568563105007,3.8225330650220037,4.993187220402218
DU002,7.0,ECMWF,13.117976608854304,15.522012733920878,10.12516978165037,12.486206839390013
DU002,6.75,ABED,3.447780831294678,4.629923407523381,3.7789448840277537,4.936751499962655
DU002,6.75,ECMWF,13.125819341824766,15.522212828492645,10.151235309751959,12.51128810520431
DU002,6.5,ABED,3.400657112672343,4.547568949200308,3.7347629050316753,4.886736801430872
DU002,6.5,ECMWF,13.14002996149502,15.526065800832548,10.181249154852413,12.538436050575873
DU002,6.25,ABED,3.366731269197222,4.4773230188139435,3.699664917827215,4.849071582556632
DU002,6.25,ECMWF,13.149837435611213,15.526390330860025,10.211211903974027,12.564428064664172
DU002,6.0,ABED,3.3304749193418584,4.412600149968159,3.6750773644970756,4.829467543772897
DU002,6.0,ECMWF,13.154832185689607,15.527003405062162,10.232762343785136,12.586975194512329
DU002,5.75,ABED,3.294692100799838,4.341663700880355,3.6503400643931547,4.808513907555202
DU002,5.75,ECMWF,13.158791984539704,15.528731192301555,10.261629717956907,12.610790620201312
DU002,5.5,ABED,3.253993525910072,4.2825323841378315,3.634690805654734,4.7822850212024575
DU002,5.5,ECMWF,13.17261572994847,15.53920528651886,10.295029290807015,12.63818062749865
DU002,5.25,ABED,3.215849185551727,4.223635347883032,3.5883935863272316,4.723752124501024
DU002,5.25,ECMWF,13.186446787905128,15.548506245133295,10.328925706901318,12.664781487265568
DU002,5.0,ABED,3.190474961690798,4.192469948343961,3.5551041810918456,4.679604770717164
DU002,5.0,ECMWF,13.202240638176354,15.559874195047009,10.359134246073603,12.689782877012178
DU002,4.75,ABED,3.1662269973293484,4.162627362937899,3.515934575464747,4.627990777804196
DU002,4.75,ECMWF,13.213046696604675,15.56916877130696,10.388643423739055,12.715156845131007
DU002,4.5,ABED,3.140300081206461,4.134182072747662,3.4761576013958178,4.54747454972205
DU002,4.5,ECMWF,13.21841062005689,15.573773476264849,10.416224699000228,12.740178514382473
DU002,4.25,ABED,3.1121213602808777,4.105133851494787,3.4165871000188766,4.462934334880823
DU002,4.25,ECMWF,13.220909896308235,15.576462120900196,10.444329667409315,12.766274971247007
DU002,4.0,ABED,3.1066241967491806,4.109713746303849,3.387930446229875,4.4158956840992785
DU002,4.0,ECMWF,13.217719562657487,15.573105747448786,10.477352513166455,12.796159797514877
DU002,3.75,ABED,3.1287787393073008,4.1361469937147035,3.3729555489332883,4.393970562425247
DU002,3.75,ECMWF,13.209339138253236,15.563962063403894,10.515894781165262,12.827881078747454
DU002,3.5,ABED,3.0839409993275546,4.111014096298356,3.3446641263262546,4.371953015358569
DU002,3.5,ECMWF,13.195185776858125,15.544235809776646,10.553247350310542,12.86143668629604
DU002,3.25,ABED,3.098501776212028,4.116947528079696,3.3018979637370425,4.324180167332863
DU002,3.25,ECMWF,13.183111623418993,15.522586809674497,10.59398951416132,12.896993969471414
DU002,3.0,ABED,3.156819843540402,4.172633957256267,3.258917192207675,4.252013428147997
DU002,3.0,ECMWF,13.181395481693023,15.517501966186586,10.634955298645128,12.93250919347408
DU002,2.75,ABED,3.1589608369587823,4.193668384497553,3.178710803550122,4.142053321784711
DU002,2.75,ECMWF,13.182843376601372,15.516091958795935,10.671154693107859,12.966382549316224
DU002,2.5,ABED,3.178213012779856,4.217475812784803,3.1126342399252787,4.01662691473376
DU002,2.5,ECMWF,13.18189313139333,15.514036750029872,10.706342953857124,12.999917437744024
DU002,2.25,ABED,3.102942227884163,4.149441780187369,3.0084627572368907,3.8923399553637914
DU002,2.25,ECMWF,13.18270423697223,15.519202301211703,10.739539698474566,13.03389110660514
DU002,2.0,ABED,2.9699331938098905,3.935387868408284,2.9336184342457376,3.8321694392141015
DU002,2.0,ECMWF,13.188264487312884,15.533282917602323,10.780885806784335,13.069299670662765
DU002,1.75,ABED,2.919058980413627,3.887332221534616,2.8765997345037495,3.756579882108988
DU002,1.75,ECMWF,13.188837310601462,15.545492514546112,10.822269859259738,13.105407921847577
DU002,1.5,ABED,2.901804827113769,3.8935543439756004,2.7888809550021376,3.7204923840330646
DU002,1.5,ECMWF,13.191600536939223,15.558941479788066,10.864958136633504,13.139977658750606
DU002,1.25,ABED,2.7740571187212795,3.6954788811592656,2.7390455166212946,3.657361998737979
DU002,1.25,ECMWF,13.201410972009072,15.577866679490535,10.903872337277724,13.174032555085036
DU002,1.0,ABED,2.725038649925989,3.5234823437630176,2.6610600368079282,3.550759130630189
DU002,1.0,ECMWF,13.210341724362967,15.595555397690129,10.939470901172541,13.207281952193103
DU002,0.75,ABED,2.526762767637108,3.2416254368093136,2.54746802843237,3.3984616407168633
DU002,0.75,ECMWF,13.21514785066621,15.605138281155732,10.974198558420474,13.240835694420232
DU002,0.5,ABED,2.3738904855768745,3.0067810166217135,2.4168021240244237,3.2048460598793036
DU002,0.5,ECMWF,13.227883477967493,15.618866509720913,11.009885630849407,13.274604770770603
DU002,0.25,ABED,2.2148612887495096,2.7836905431365606,2.1408967275379434,2.8932604165530833
DU002,0.25,ECMWF,13.25140054667265,15.641992134867131,11.046933834232322,13.308696634027369
DU002,0.0,ABED,1.989695825440281,2.476788734131073,1.812550043999982,2.4575167011555115
DU002,0.0,ECMWF,13.276456389963668,15.666249636758733,11.083012926661576,13.34175401344096
GN002,7.75,ABED,3.631062431321307,4.748386714572401,3.31050498434055,4.145358935775701
GN002,7.75,ECMWF,11.351845741593552,14.12120557816971,10.82945112510779,13.345971115738863
GN002,7.5,ABED,3.5916814295299075,4.711176971947488,3.2808901557963295,4.115687514183289
GN002,7.5,ECMWF,11.351845741593552,14.12120557816971,10.82945112510779,13.345971115738863
GN002,7.25,ABED,3.563200669006709,4.687279072969939,3.249740835198742,4.086748738048661
GN002,7.25,ECMWF,11.351845741593552,14.12120557816971,10.82945112510779,13.345971115738863
GN002,7.0,ABED,3.545114800951984,4.669287367404124,3.216051057619215,4.053130138235741
GN002,7.0,ECMWF,11.351845741593552,14.12120557816971,10.82945112510779,13.345971115738863
GN002,6.75,ABED,3.5172041892536816,4.641079826271115,3.178115794412005,4.014881984280483
GN002,6.75,ECMWF,11.361152419634958,14.129175874999213,10.814450800602334,13.336535714345294
GN002,6.5,ABED,3.4866678501595745,4.605724923613027,3.1553416653128807,3.9801563581919606
GN002,6.5,ECMWF,11.380140362202292,14.143275031238419,10.798821368858444,13.328327121336045
GN002,6.25,ABED,3.4746066050065108,4.5954461845443415,3.1437804713938973,3.9595897460621563
GN002,6.25,ECMWF,11.39412412001662,14.151278334738878,10.786213094542651,13.322205517444752
GN002,6.0,ABED,3.465245241393583,4.58459209745929,3.134973759939776,3.9344959654229994
GN002,6.0,ECMWF,11.405308812514427,14.1575578480058,10.772980297430635,13.315805838782579
GN002,5.75,ABED,3.455426294792586,4.5742509614714475,3.121360304937431,3.9151187443581827
GN002,5.75,ECMWF,11.410412061757446,14.158609145671893,10.767642242986536,13.318231752529
GN002,5.5,ABED,3.4407396632939196,4.56346776571621,3.126495897775898,3.9181066872385606
GN002,5.5,ECMWF,11.423466528025202,14.169763565119261,10.768491685341033,13.32495430995012
GN002,5.25,ABED,3.432829602657547,4.565683664361251,3.137036056137614,3.9251675979527283
GN002,5.25,ECMWF,11.45065998590003,14.192543088869211,10.769671574137137,13.331106994405658
