site,horizon,model,MAE_speed,RMSE_speed,MAE_sine,RMSE_sine,MAE_cosine,RMSE_cosine,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,0.0,ABED,2.651528997222721,3.4401133781390825,0.23669695781704894,0.40845991120861114,0.28736154818342047,0.45091974456152595,2.7732999060697257,3.558866517800624,3.032530471050337,3.864653301188302
DU002,0.0,ECMWF,3.070303472068001,3.8456069696804005,0.8487725476743418,0.9466018796337721,1.0016162229814354,1.1136673759742015,12.213970188753626,14.967243972768824,10.62132043466532,13.532614841486437
DU002,0.25,ABED,2.7271227219589314,3.5244734961026194,0.24189203998215655,0.4143206892270925,0.2944969058884651,0.46225088306100875,2.8730285135988036,3.6895273495592154,3.101762558943044,3.9550321153683496
DU002,0.25,ECMWF,3.067914393258486,3.8466358110361596,0.8500630967438062,0.947928708111762,1.0016059946449458,1.1139552415822984,12.222889186735127,14.967305185673338,10.637127709400984,13.55174027257475
DU002,0.5,ABED,2.8034867044902136,3.5918989282757487,0.24274219778180545,0.41780951558121016,0.29869791437434656,0.4709175522744377,2.934425511866532,3.7550668417502764,3.1648693583388297,4.00953558075499
DU002,0.5,ECMWF,3.074780622719347,3.855348029055573,0.8516182767180603,0.9491998727596663,1.0022919746985781,1.1145740012951355,12.234610484607,14.967402006201509,10.65157570199903,13.562764862218886
DU002,0.75,ABED,2.880749543534846,3.658329951778907,0.2527810282906554,0.4338109038248406,0.30284191486002876,0.47716878994038675,2.9696136027810844,3.8067314947029707,3.2415770197829317,4.065120343481162
DU002,0.75,ECMWF,3.0836978634233927,3.8645179748505716,0.8535139918842639,0.9506374376827493,1.0031957417147108,1.1153375204464415,12.23828731919684,14.955849400707384,10.67163067243825,13.578063565215244
DU002,1.0,ABED,2.870293648370847,3.6760193410282915,0.26398882616119596,0.44333473888569597,0.30722761473990423,0.480121888016882,3.0049564361194134,3.8316966593125836,3.298294655269684,4.132008854910381
DU002,1.0,ECMWF,3.0848620453672724,3.868555275211004,0.8549945889653543,0.9518928915865309,1.0042419765961232,1.1162075660289232,12.231535982937043,14.928909413740191,10.689519128040665,13.593074969276353
DU002,1.25,ABED,2.8353109158334058,3.643801801067739,0.26317707362852216,0.443143082908318,0.3083878982935649,0.4790640709177828,3.0160960370928724,3.845440120563516,3.311436827358028,4.172192087446014
DU002,1.25,ECMWF,3.0896045679254116,3.874230630330519,0.8562300945870452,0.9530922965821781,1.0046252888204337,1.1166476447898193,12.224613875513969,14.901932582353474,10.705343804856646,13.60828844047796
DU002,1.5,ABED,2.81855426532434,3.620596898099219,0.2664967172618158,0.45142016465740475,0.30754815544225605,0.47355434818684616,3.014129425285256,3.8469051203393825,3.3127126655992805,4.172635599569994
DU002,1.5,ECMWF,3.0945555076305666,3.8803890704161277,0.8567263977173972,0.9535610318665834,1.0054080678011523,1.1172277552681522,12.217590663923264,14.867395389422262,10.712641925980899,13.612966699776573
