site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,0.0,ABED,3.923046769061136,5.276085120955561,3.884540105402991,5.358890104007777
DU002,0.0,ECMWF,21.229882646309527,25.552346958435194,19.210889741814523,22.92176128840148
DU002,0.25,ABED,4.021095353485795,5.378081218766456,4.04456250240432,5.551513854792852
DU002,0.25,ECMWF,21.26370165984174,25.588962876165557,19.207661080962247,22.923995914960567
DU002,0.5,ABED,4.015497986949407,5.352407029995238,4.0652469159490785,5.589636480769727
DU002,0.5,ECMWF,21.298832832973165,25.621530556307068,19.219489835262156,22.94186161730637
DU002,0.75,ABED,3.9966700085930738,5.34244951540567,4.047907271902873,5.5578887102537715
DU002,0.75,ECMWF,21.3413385752407,25.656439959660407,19.23312179306529,22.95627829891704
DU002,1.0,ABED,3.9785108275097416,5.336991789612049,4.072585215832615,5.5712461348572795
DU002,1.0,ECMWF,21.39194491893505,25.702612928293444,19.25167906223137,22.968342426432812
DU002,1.25,ABED,3.963302526987093,5.354160247410401,4.151491125173243,5.616651022945288
DU002,1.25,ECMWF,21.445384537860857,25.747872249317265,19.272296420235893,22.987126485834242
DU002,1.5,ABED,3.943799896001722,5.320408211281484,4.199548297734498,5.628895537981259
DU002,1.5,ECMWF,21.4957390070846,25.79034910932807,19.287870369748354,23.001962202732813
DU002,1.75,ABED,3.917630089069658,5.25344329366433,4.18411137585092,5.600425564506274
DU002,1.75,ECMWF,21.54113948508755,25.82988981920071,19.29296334002011,23.004569792469905
DU002,2.0,ABED,3.9982066381675234,5.309734540141674,4.17677257356833,5.577808938258257
DU002,2.0,ECMWF,21.57850145198298,25.862272370701508,19.30977864982486,23.021978352070136
DU002,2.25,ABED,4.130189025189536,5.440184244928814,4.21749018437456,5.6241962600532975
DU002,2.25,ECMWF,21.609979569326896,25.89208257134298,19.335207001976997,23.03851957637774
DU002,2.5,ABED,4.2306119146486445,5.553495695962028,4.253746021043269,5.706338318346454
DU002,2.5,ECMWF,21.649206987059404,25.923184521233136,19.35450311024568,23.054768834519002
DU002,2.75,ABED,4.220094488425688,5.471671835352689,4.295874366978207,5.817938495589937
DU002,2.75,ECMWF,21.67820830724214,25.947045535699964,19.38014596081626,23.0763114521909
DU002,3.0,ABED,4.157034134723587,5.416509677833471,4.201715051187385,5.779008445465712
DU002,3.0,ECMWF,21.703483138294295,25.9686041298632,19.41659239553192,23.104213229932235
DU002,3.25,ABED,4.103800027717003,5.362556291858227,4.261123679973504,5.8394445999595295
DU002,3.25,ECMWF,21.734012324889925,25.995901184573402,19.44808099264705,23.12252692990606
DU002,3.5,ABED,3.989475666372636,5.254146009190349,4.276706566627057,5.916850918227181
DU002,3.5,ECMWF,21.754765023323184,26.023119482108932,19.47980578157616,23.14027007160025
DU002,3.75,ABED,3.9579606732353567,5.197473140131556,4.269414996497023,5.970837221232061
DU002,3.75,ECMWF,21.78477895049999,26.050832679296153,19.52410702822342,23.171331015414335
DU002,4.0,ABED,3.9784289618341515,5.2436588237372606,4.307806815398894,6.017176391047412
DU002,4.0,ECMWF,21.81033280290563,26.073087902608613,19.558683948806213,23.196747667760267
DU002,4.25,ABED,4.014896406930544,5.298581903129142,4.350556107404692,6.0916783280773625
DU002,4.25,ECMWF,21.834870795933277,26.09875049079005,19.59636412309467,23.221765775103734
DU002,4.5,ABED,3.9621368567300896,5.216826293748944,4.3685866656846235,6.197966977869517
