site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,7.75,ABED,3.505238746361513,4.611488027807195,3.454458512606001,4.519780909866215
DU002,7.75,ECMWF,11.781273704757425,14.151713736246718,11.947119353103794,14.78352352050242
DU002,7.5,ABED,3.4425981005065536,4.517547115597556,3.374177125586491,4.389791607433192
DU002,7.5,ECMWF,11.77732181602991,14.142591357223752,12.018663233263712,14.860330493208044
DU002,7.25,ABED,3.434674999706055,4.425085459818885,3.28493477731551,4.310931869639658
DU002,7.25,ECMWF,11.771275699334709,14.13914032358548,12.088938170475394,14.934238135781175
DU002,0.0,ABED,3.0049228015529916,3.825261459783107,2.97726265697104,3.830362956897923
DU002,0.0,ECMWF,11.724233614538258,14.400810672502724,12.445570612951878,15.57718174431587
DU002,0.25,ABED,3.095242732189229,3.9540303398848162,2.991887064303317,3.8773064822742946
DU002,0.25,ECMWF,11.737138932998308,14.410502660661933,12.440822151967621,15.570519915050621
DU002,0.5,ABED,3.1273766628597395,3.9940556547843813,3.016431555009547,3.8995522870603367
DU002,0.5,ECMWF,11.747757898812944,14.420419532757963,12.434142754256364,15.564193559059113
DU002,0.75,ABED,3.1336233020216846,4.002436615881081,3.055998171462367,3.9284329197370496
DU002,0.75,ECMWF,11.753017676062882,14.421395210911438,12.437035421131684,15.56920281986563
DU002,1.0,ABED,3.1271636852634552,3.990094146692261,3.087887981765661,3.9644951007818383
DU002,1.0,ECMWF,11.749302345445427,14.409026233375382,12.438212109718886,15.57516678180535
DU002,1.25,ABED,3.147568705973168,4.034834185944415,3.103558264570153,4.011988510623513
DU002,1.25,ECMWF,11.748123227981692,14.399632720067652,12.439290139639663,15.582722551580233
DU002,1.5,ABED,3.2019264162478285,4.084212181118422,3.1291007941298217,4.033809835427792
DU002,1.5,ECMWF,11.74784679691761,14.383303969634957,12.444326057907743,15.59076646496449
DU002,1.75,ABED,3.2304029428833645,4.0880834794412735,3.1365608141641133,4.037230557104469
DU002,1.75,ECMWF,11.746289263832672,14.369083349854062,12.440753572400668,15.58812253745054
DU002,2.0,ABED,3.2413534022300787,4.078608296246713,3.0938220008286526,3.981895558738791
DU002,2.0,ECMWF,11.747367919333604,14.35999067479405,12.437352838275103,15.584853702181828
DU002,2.25,ABED,3.139013590928363,3.9956486847309076,3.0213933377261193,3.908700966502645
DU002,2.25,ECMWF,11.764981579427657,14.36399606611892,12.4374585366091,15.583150935861461
DU002,2.5,ABED,3.091875158489344,3.926361278643185,2.9407247610831124,3.858285836364056
DU002,2.5,ECMWF,11.777486560948654,14.364499934944739,12.449770707938928,15.59543451033389
DU002,2.75,ABED,3.096465697196046,3.937748753786495,2.893431221796033,3.784213762179419
DU002,2.75,ECMWF,11.790405322331935,14.37061026612838,12.464505053330088,15.605345349653287
DU002,3.0,ABED,3.061566711009086,3.927794947237392,2.8553637453157723,3.6843362009419036
DU002,3.0,ECMWF,11.80698567642285,14.381335039105943,12.44082178128988,15.538062097102765
DU002,3.25,ABED,3.0319760014726356,3.954391999503576,2.843431850624355,3.6687752548843804
DU002,3.25,ECMWF,11.8213824337179,14.39638753744974,12.425856441738803,15.503483133871287
DU002,3.5,ABED,3.0780223944745617,4.011252277132298,2.8118741472482407,3.632754708318567
DU002,3.5,ECMWF,11.835424553705465,14.416335995620436,12.421371864877992,15.48685994344743
DU002,3.75,ABED,3.174178778581942,4.094420025667423,2.7790892008579924,3.5807332114962165
DU002,3.75,ECMWF,11.839512823563483,14.422022693304344,12.4322978296647,15.481179147282806
DU002,4.0,ABED,3.192751903208756,4.134598817439001,2.734789718181835,3.4935283393799272
DU002,4.0,ECMWF,11.843954275074964,14.423477564238127,12.42771615866663,15.462098702876556
DU002,4.25,ABED,3.161646728078782,4.117857039223527,2.73791979269107,3.4656321716797613
DU002,4.25,ECMWF,11.847872882167685,14.416383320548608,12.426461243251875,15.447805068829613
DU002,4.5,ABED,3.11951154834103,4.0322810286844115,2.763777895369345,3.4692432666378243
DU002,4.5,ECMWF,11.856784726395494,14.411164837081678,12.418696560556556,15.421499945149277
