site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,7.75,ABED,4.905181993130747,6.566610161977544,4.701948051991528,6.305133879022393
DU002,7.75,ECMWF,24.10168069983688,26.76170701562534,23.1704175274598,25.918704695198112
DU002,7.5,ABED,4.854677292917456,6.516484017125514,4.689549229417528,6.260676306460025
DU002,7.5,ECMWF,24.10170236943343,26.764615311172893,23.161093445743834,25.911875272971464
DU002,7.25,ABED,4.765509821419141,6.473367253729629,4.64263352499401,6.197961775237503
DU002,7.25,ECMWF,24.10359669033357,26.769157424712425,23.15103021076533,25.904151596994705
DU002,7.0,ABED,4.693163875690987,6.410350990999078,4.560321755673126,6.1135049070315
DU002,7.0,ECMWF,24.105014930765133,26.77330263865674,23.139941556176506,25.895154022933998
DU002,6.75,ABED,4.607828466178969,6.318981729486938,4.469408501947829,6.039938822599034
DU002,6.75,ECMWF,24.10205177513246,26.773399293201017,23.12660085044186,25.88322498212806
DU002,6.5,ABED,4.539760464128753,6.239377140410094,4.377300364483922,5.923065727540488
DU002,6.5,ECMWF,24.097023661472928,26.771375532420066,23.10891034145306,25.86514296794885
DU002,6.25,ABED,4.446639348403818,6.147255822263516,4.297337462247788,5.828623516041905
DU002,6.25,ECMWF,24.090024039131087,26.767199147121445,23.093645964922576,25.850581761117787
DU002,6.0,ABED,4.383743768774393,6.08382751405153,4.23978187474749,5.788341349197763
DU002,6.0,ECMWF,24.08173726564134,26.761552586855654,23.08245127148266,25.841476315469112
DU002,5.75,ABED,4.326726624948157,5.999077072284661,4.208094328950902,5.7235937791044496
DU002,5.75,ECMWF,24.06851737923847,26.749752440001824,23.07241241266513,25.83382451233689
DU002,5.5,ABED,4.253318698305503,5.844487854717914,4.184262400834618,5.660396844108133
DU002,5.5,ECMWF,24.054771599076226,26.7372570697421,23.060196287869857,25.823422695344306
DU002,5.25,ABED,4.165052556619909,5.717484675512093,4.1014408449240145,5.558678455818477
DU002,5.25,ECMWF,24.040750042962312,26.724397413745873,23.043563710452503,25.806946035400628
DU002,5.0,ABED,4.100162876987389,5.636588063163366,4.011777996689598,5.395732110169633
DU002,5.0,ECMWF,24.031109036753932,26.71716602080874,23.02698202612083,25.790550374595696
DU002,4.75,ABED,3.990097776150193,5.523556245199925,3.9484485287598714,5.243185219755577
DU002,4.75,ECMWF,24.019486455745884,26.70747853401193,23.011707504417885,25.776027664263378
DU002,4.5,ABED,3.8869989924568022,5.36393441988745,3.934034042408533,5.177918734898742
DU002,4.5,ECMWF,24.058157842448548,26.731948696692655,23.046863796241652,25.808235451964137
DU002,4.25,ABED,3.80936183079304,5.221937305202014,3.888535652151507,5.095250446753959
DU002,4.25,ECMWF,24.099777197165476,26.76071471945441,23.07828569681085,25.83556393616842
DU002,4.0,ABED,3.6889313252021867,5.07526690073017,3.8422221079912213,5.012559334269512
DU002,4.0,ECMWF,24.141936036748145,26.79481670343047,23.112539952975652,25.866317032585314
DU002,3.75,ABED,3.611956289727599,4.9866821578873735,3.8121861792617264,4.969157408631425
DU002,3.75,ECMWF,24.17606756085633,26.811561914584722,23.148083076722777,25.897487510650137
DU002,3.5,ABED,3.5776472432466533,4.974042138401757,3.7979341658754544,4.961870101062994
DU002,3.5,ECMWF,24.203942626297646,26.826233066501494,23.180765290771728,25.925792275888394
