site,horizon,model,MAE_u10,RMSE_u10,MAE_v10,RMSE_v10
DU002,0.0,ABED,2.22270905111327,2.9685944954589645,2.1052670803131455,2.868303191656917
DU002,0.0,ECMWF,16.011280442755226,19.613767654159183,15.039893766242736,18.428268623916928
DU002,0.25,ABED,2.5327093323685403,3.4210107133358774,2.430600939042961,3.3219344311787355
DU002,0.25,ECMWF,16.018532891105224,19.620923223058295,15.030630033388965,18.425255791473415
DU002,0.5,ABED,2.7957790861958833,3.7588920330454023,2.6465056190072573,3.576721595849402
DU002,0.5,ECMWF,16.02482878035744,19.626460108071903,15.022849444118947,18.424641184929392
DU002,0.75,ABED,2.9790187138933106,4.003806766951094,2.816288585134013,3.78948650749569
DU002,0.75,ECMWF,16.034532142397893,19.63155980137964,15.014556112469714,18.42104696499246
DU002,1.0,ABED,3.096505740648354,4.1345175823065325,2.9687186162454964,3.9997382505725265
DU002,1.0,ECMWF,16.048304383795614,19.641482160627728,15.008167466079309,18.418278062391728
DU002,1.25,ABED,3.157262672579236,4.23962746326039,3.0987176683978155,4.1481613489428115
DU002,1.25,ECMWF,16.063379803800824,19.65148974792211,14.998620742683064,18.41433512055947
DU002,1.5,ABED,3.227048259769314,4.321391856711661,3.193411268768917,4.309560561752473
DU002,1.5,ECMWF,16.07959476394156,19.661015108031275,14.987266743824572,18.407793889979473
DU002,1.75,ABED,3.2782056130120814,4.393860242401887,3.297751082466069,4.4220343741057055
DU002,1.75,ECMWF,16.097048477810404,19.67223048048321,14.974547369074267,18.398719801684194
DU002,2.0,ABED,3.353266590533167,4.504258757000189,3.3161096812846154,4.489885382360624
DU002,2.0,ECMWF,16.1121327387353,19.681551541808037,14.965270097713983,18.39483413045257
DU002,2.25,ABED,3.393308212232417,4.5628197675965385,3.3741315585584744,4.581241519886853
DU002,2.25,ECMWF,16.128436029700577,19.693142058733784,14.957328990911568,18.391233807597573
DU002,2.5,ABED,3.4407771760706964,4.61376744654698,3.4371467427005578,4.71118554333159
DU002,2.5,ECMWF,16.141184631962915,19.702511529578505,14.953288018647376,18.38909300221235
DU002,2.75,ABED,3.4199933281931103,4.573201302350929,3.4699771929223666,4.764494626700567
DU002,2.75,ECMWF,16.149298040802478,19.7114447415753,14.951125712912168,18.387809291809663
DU002,3.0,ABED,3.411710199120231,4.557590790497978,3.529305652603398,4.839144970893193
DU002,3.0,ECMWF,16.158819067679815,19.722669334778576,14.94607104045978,18.379669583632097
DU002,3.25,ABED,3.408552375763975,4.5733647797319685,3.5572134462657536,4.874424551333848
DU002,3.25,ECMWF,16.16929216377912,19.733730408114923,14.93876624386121,18.371750186341224
DU002,3.5,ABED,3.4116607775419348,4.587062607363314,3.5799819701833258,4.899909128049536
DU002,3.5,ECMWF,16.18080865130575,19.748593346408803,14.931036909674427,18.36480492852636
DU002,3.75,ABED,3.454463771809363,4.632073443933165,3.6032784481573494,4.933399179304901
DU002,3.75,ECMWF,16.189375058511207,19.758875002096673,14.925050217246886,18.360878705396825
DU002,4.0,ABED,3.4912060990488194,4.674766650587141,3.6308216775635933,4.975095430254887
DU002,4.0,ECMWF,16.196577184213766,19.765397272260497,14.914535549768516,18.3532676486856
DU002,4.25,ABED,3.530868424441602,4.72545041082344,3.6696015352302616,5.058931989580592
DU002,4.25,ECMWF,16.198541733660477,19.765463962413722,14.907335411707209,18.34616730395278
DU002,4.5,ABED,3.5803306619448754,4.786756002929623,3.694499119804277,5.112359778747565
DU002,4.5,ECMWF,16.19956336450423,19.76163102457112,14.901794242243037,18.34241012008807
DU002,4.75,ABED,3.6267963389297315,4.84129401848752,3.717361158389091,5.169010646535237
DU002,4.75,ECMWF,16.19699837730741,19.757665767267127,14.896381835976777,18.337906888372327
DU002,5.0,ABED,3.6721621852181365,4.890862990872177,3.7345883066248766,5.211397619081463
DU002,5.0,ECMWF,16.18890556657895,19.748851560337094,14.887632059175607,18.331341610554315
DU002,5.25,ABED,3.7134646291985214,4.93161048173045,3.7652559285158227,5.253383014621945
DU002,5.25,ECMWF,16.185280490825033,19.74213607653255,14.876006937764336,18.322877601147695
DU002,5.5,ABED,3.74799873082884,4.973015765900358,3.806230383153585,5.317016477054843
DU002,5.5,ECMWF,16.178880965277283,19.733233618739884,14.863902967240088,18.313866668567833
DU002,5.75,ABED,3.758977311963463,4.999397882289404,3.829880077790525,5.347452439915027
DU002,5.75,ECMWF,16.175301883891887,19.725527973663667,14.853584842077453,18.305538434131023
DU002,6.0,ABED,3.7764449792363544,5.022396439690462,3.855172974714454,5.372341671367711
DU002,6.0,ECMWF,16.170131177982967,19.716156352509287,14.843399871412506,18.29917780773243
